year,hour,SHIFT,OFFENSE,Report_Date,year
2016-01-01,5,MIDNIGHT,SEX ABUSE,2016-01-01 05:11:00,2016
2016-01-01,8,DAY,SEX ABUSE,2016-01-01 08:06:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-01-01 10:40:00,2016
2016-01-01,12,DAY,SEX ABUSE,2016-01-01 12:50:00,2016
2016-01-01,19,EVENING,SEX ABUSE,2016-01-01 19:52:00,2016
2016-01-01,22,EVENING,SEX ABUSE,2016-01-01 22:36:00,2016
2016-01-01,20,EVENING,SEX ABUSE,2016-01-03 20:49:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-01-04 00:07:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-01-05 03:00:00,2016
2016-01-01,7,DAY,SEX ABUSE,2016-01-05 07:19:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-01-06 03:24:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-01-07 03:31:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-09 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-09 00:00:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-01-09 21:59:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-10 00:00:00,2016
2016-01-01,13,DAY,SEX ABUSE,2016-01-10 13:16:00,2016
2016-01-01,9,DAY,SEX ABUSE,2016-01-12 09:22:00,2016
2016-01-01,20,EVENING,SEX ABUSE,2016-01-12 20:33:00,2016
2016-01-01,6,MIDNIGHT,SEX ABUSE,2016-01-16 06:28:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-01-17 00:24:00,2016
2016-01-01,23,MIDNIGHT,SEX ABUSE,2016-01-18 23:53:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-20 00:00:00,2016
2016-01-01,22,EVENING,SEX ABUSE,2016-01-20 22:25:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-22 00:00:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-01-22 00:54:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-23 00:00:00,2016
2016-01-01,16,EVENING,SEX ABUSE,2016-01-26 16:12:00,2016
2016-01-01,18,EVENING,SEX ABUSE,2016-01-26 18:53:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-01-27 03:18:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-01-27 21:33:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-01-28 02:02:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-01-31 00:00:00,2016
2016-01-01,1,MIDNIGHT,SEX ABUSE,2016-01-31 01:57:00,2016
2016-01-01,19,EVENING,SEX ABUSE,2016-01-31 19:22:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-01 00:00:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-02-03 02:38:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-02-03 14:01:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-02-03 15:13:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-02-04 10:02:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-02-06 02:16:00,2016
2016-01-01,11,DAY,SEX ABUSE,2016-02-06 11:28:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-09 00:00:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-02-09 02:47:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-10 00:00:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-02-12 10:24:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-02-12 15:42:00,2016
2016-01-01,7,MIDNIGHT,SEX ABUSE,2016-02-15 07:00:00,2016
2016-01-01,7,DAY,SEX ABUSE,2016-02-15 07:16:00,2016
2016-01-01,17,EVENING,SEX ABUSE,2016-02-15 17:44:00,2016
2016-01-01,12,DAY,SEX ABUSE,2016-02-17 12:59:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-18 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-18 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-19 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-20 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-22 00:00:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-02-22 03:26:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-02-24 00:00:00,2016
2016-01-01,4,MIDNIGHT,SEX ABUSE,2016-02-26 04:20:00,2016
2016-01-01,18,EVENING,SEX ABUSE,2016-02-27 18:10:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-02-29 21:21:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-01 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-02 00:00:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-03-02 14:42:00,2016
2016-01-01,19,EVENING,SEX ABUSE,2016-03-03 19:51:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-04 00:00:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-03-04 10:41:00,2016
2016-01-01,9,DAY,SEX ABUSE,2016-03-05 09:22:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-03-05 21:57:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-06 00:00:00,2016
2016-01-01,18,EVENING,SEX ABUSE,2016-03-07 18:03:00,2016
2016-01-01,22,EVENING,SEX ABUSE,2016-03-07 22:31:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-03-10 02:41:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-11 00:00:00,2016
2016-01-01,20,EVENING,SEX ABUSE,2016-03-11 20:44:00,2016
2016-01-01,4,MIDNIGHT,SEX ABUSE,2016-03-12 04:17:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-03-13 14:43:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-03-13 15:12:00,2016
2016-01-01,6,MIDNIGHT,SEX ABUSE,2016-03-14 06:04:00,2016
2016-01-01,22,EVENING,SEX ABUSE,2016-03-14 22:07:00,2016
2016-01-01,6,MIDNIGHT,SEX ABUSE,2016-03-16 06:07:00,2016
2016-01-01,7,DAY,SEX ABUSE,2016-03-16 07:50:00,2016
2016-01-01,11,DAY,SEX ABUSE,2016-03-16 11:06:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-17 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-17 00:00:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-03-18 00:24:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-03-19 02:24:00,2016
2016-01-01,13,DAY,SEX ABUSE,2016-03-19 13:36:00,2016
2016-01-01,18,EVENING,SEX ABUSE,2016-03-19 18:57:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-03-20 03:54:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-22 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-24 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-26 00:00:00,2016
2016-01-01,22,EVENING,SEX ABUSE,2016-03-26 22:50:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-03-28 00:01:00,2016
2016-01-01,23,MIDNIGHT,SEX ABUSE,2016-03-28 23:14:00,2016
2016-01-01,1,MIDNIGHT,SEX ABUSE,2016-03-30 01:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-03-31 00:00:00,2016
2016-01-01,3,MIDNIGHT,SEX ABUSE,2016-04-01 03:38:00,2016
2016-01-01,2,MIDNIGHT,SEX ABUSE,2016-04-02 02:05:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-04-03 21:07:00,2016
2016-01-01,23,MIDNIGHT,SEX ABUSE,2016-04-03 23:23:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-04 00:00:00,2016
2016-01-01,5,MIDNIGHT,SEX ABUSE,2016-04-04 05:08:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-04-04 14:41:00,2016
2016-01-01,21,EVENING,SEX ABUSE,2016-04-04 21:56:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-04-06 15:26:00,2016
2016-01-01,19,EVENING,SEX ABUSE,2016-04-07 19:18:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-11 00:00:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-04-11 15:25:00,2016
2016-01-01,20,EVENING,SEX ABUSE,2016-04-11 20:38:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-04-13 00:21:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-04-13 14:24:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-15 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-17 00:00:00,2016
2016-01-01,1,MIDNIGHT,SEX ABUSE,2016-04-17 01:25:00,2016
2016-01-01,7,DAY,SEX ABUSE,2016-04-17 07:33:00,2016
2016-01-01,17,EVENING,SEX ABUSE,2016-04-18 17:39:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-04-19 00:03:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-21 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-22 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-23 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-24 00:00:00,2016
2016-01-01,11,DAY,SEX ABUSE,2016-04-24 11:19:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-04-25 14:41:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-26 00:00:00,2016
2016-01-01,23,MIDNIGHT,SEX ABUSE,2016-04-27 23:29:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-03 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-03 00:00:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-05-07 15:09:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-08 00:00:00,2016
2016-01-01,6,MIDNIGHT,SEX ABUSE,2016-05-08 06:25:00,2016
2016-01-01,12,DAY,SEX ABUSE,2016-05-08 12:16:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-10 00:00:00,2016
2016-01-01,16,EVENING,SEX ABUSE,2016-05-10 16:47:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-11 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-12 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-14 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-16 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-17 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-18 00:00:00,2016
2016-01-01,17,EVENING,SEX ABUSE,2016-05-18 17:42:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-19 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-23 00:00:00,2016
2016-01-01,5,MIDNIGHT,SEX ABUSE,2016-05-24 05:57:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-05-25 00:45:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-26 00:00:00,2016
2016-01-01,1,MIDNIGHT,SEX ABUSE,2016-05-26 01:36:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-05-27 10:50:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-05-27 15:55:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-29 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-05-31 00:32:00,2016
